id,type,name
NC,state,North Carolina
NC001,county,Alamance
NC003,county,Alexander
NC005,county,Alleghany
NC007,county,Anson
NC009,county,Ashe
NC011,county,Avery
NC013,county,Beaufort
NC015,county,Bertie
NC017,county,Bladen
NC019,county,Brunswick
NC021,county,Buncombe
NC023,county,Burke
NC025,county,Cabarrus
NC027,county,Caldwell
NC029,county,Camden
NC031,county,Carteret
NC033,county,Caswell
NC035,county,Catawba
NC037,county,Chatham
NC039,county,Cherokee
NC041,county,Chowan
NC043,county,Clay
NC045,county,Cleveland
NC047,county,Columbus
NC049,county,Craven
NC051,county,Cumberland
NC053,county,Currituck
NC055,county,Dare
NC057,county,Davidson
NC059,county,Davie
NC061,county,Duplin
NC063,county,Durham
NC065,county,Edgecombe
NC067,county,Forsyth
NC069,county,Franklin
NC071,county,Gaston
NC073,county,Gates
NC075,county,Graham
NC077,county,Granville
NC079,county,Greene
NC081,county,Guilford
NC083,county,Halifax
NC085,county,Harnett
NC087,county,Haywood
NC089,county,Henderson
NC091,county,Hertford
NC093,county,Hoke
NC095,county,Hyde
NC097,county,Iredell
NC099,county,Jackson
NC101,county,Johnston
NC103,county,Jones
NC105,county,Lee
NC107,county,Lenoir
NC109,county,Lincoln
NC111,county,McDowell
NC113,county,Macon
NC115,county,Madison
NC117,county,Martin
NC119,county,Mecklenburg
NC121,county,Mitchell
NC123,county,Montgomery
NC125,county,Moore
NC127,county,Nash
NC129,county,New Hanover
NC131,county,Northampton
NC133,county,Onslow
NC135,county,Orange
NC137,county,Pamlico
NC139,county,Pasquotank
NC141,county,Pender
NC143,county,Perquimans
NC145,county,Person
NC147,county,Pitt
NC149,county,Polk
NC151,county,Randolph
NC153,county,Richmond
NC155,county,Robeson
NC157,county,Rockingham
NC159,county,Rowan
NC161,county,Rutherford
NC163,county,Sampson
NC165,county,Scotland
NC167,county,Stanly
NC169,county,Stokes
NC171,county,Surry
NC173,county,Swain
NC175,county,Transylvania
NC177,county,Tyrrell
NC179,county,Union
